DATE,DJIA
2022-09-15,30961.82
2022-09-16,30822.42
2022-09-19,31019.68
2022-09-20,30706.23
2022-09-21,30183.78
2022-09-22,30076.68
2022-09-23,29590.41
2022-09-26,29260.81
2022-09-27,29134.99
2022-09-28,29683.74
2022-09-29,29225.61
2022-09-30,28725.51
2022-10-03,29490.89
2022-10-04,30316.32
2022-10-05,30273.87
2022-10-06,29926.94
2022-10-07,29296.79
2022-10-10,29202.88
2022-10-11,29239.19
2022-10-12,29210.85
2022-10-13,30038.72
2022-10-14,29634.83
2022-10-17,30185.82
2022-10-18,30523.80
2022-10-19,30423.81
2022-10-20,30333.59
2022-10-21,31082.56
2022-10-24,31499.62
2022-10-25,31836.74
2022-10-26,31839.11
2022-10-27,32033.28
2022-10-28,32861.80
2022-10-31,32732.95
2022-11-01,32653.20
2022-11-02,32147.76
2022-11-03,32001.25
2022-11-04,32403.22
2022-11-07,32827.00
2022-11-08,33160.83
2022-11-09,32513.94
2022-11-10,33715.37
2022-11-11,33747.86
2022-11-14,33536.70
2022-11-15,33592.92
2022-11-16,33553.83
2022-11-17,33546.32
2022-11-18,33745.69
2022-11-21,33700.28
2022-11-22,34098.10
2022-11-23,34194.06
2022-11-24,.
2022-11-25,34347.03
2022-11-28,33849.46
2022-11-29,33852.53
2022-11-30,34589.77
2022-12-01,34395.01
2022-12-02,34429.88
2022-12-05,33947.10
2022-12-06,33596.34
2022-12-07,33597.92
2022-12-08,33781.48
2022-12-09,33476.46
2022-12-12,34005.04
2022-12-13,34108.64
2022-12-14,33966.35
2022-12-15,33202.22
2022-12-16,32920.46
2022-12-19,32757.54
2022-12-20,32849.74
2022-12-21,33376.48
2022-12-22,33027.49
2022-12-23,33203.93
2022-12-26,.
2022-12-27,33241.56
2022-12-28,32875.71
2022-12-29,33220.80
2022-12-30,33147.25
2023-01-02,.
2023-01-03,33136.37
2023-01-04,33269.77
2023-01-05,32930.08
2023-01-06,33630.61
2023-01-09,33517.65
2023-01-10,33704.10
2023-01-11,33973.01
2023-01-12,34189.97
2023-01-13,34302.61
2023-01-16,.
2023-01-17,33910.85
2023-01-18,33296.96
2023-01-19,33044.56
2023-01-20,33375.49
2023-01-23,33629.56
2023-01-24,33733.96
2023-01-25,33743.84
2023-01-26,33949.41
2023-01-27,33978.08
2023-01-30,33717.09
2023-01-31,34086.04
2023-02-01,34092.96
2023-02-02,34053.94
2023-02-03,33926.01
2023-02-06,33891.02
2023-02-07,34156.69
2023-02-08,33949.01
2023-02-09,33699.88
2023-02-10,33869.27
2023-02-13,34245.93
2023-02-14,34089.27
2023-02-15,34128.05
2023-02-16,33696.85
2023-02-17,33826.69
2023-02-20,.
2023-02-21,33129.59
2023-02-22,33045.09
2023-02-23,33153.91
2023-02-24,32816.92
2023-02-27,32889.09
2023-02-28,32656.70
2023-03-01,32661.84
2023-03-02,33003.57
2023-03-03,33390.97
2023-03-06,33431.44
2023-03-07,32856.46
2023-03-08,32798.40
2023-03-09,32254.86
2023-03-10,31909.64
2023-03-13,31819.14
2023-03-14,32155.40
2023-03-15,31874.57
2023-03-16,32246.55
2023-03-17,31861.98
2023-03-20,32244.58
2023-03-21,32560.60
2023-03-22,32030.11
2023-03-23,32105.25
2023-03-24,32237.53
2023-03-27,32432.08
2023-03-28,32394.25
2023-03-29,32717.60
2023-03-30,32859.03
2023-03-31,33274.15
2023-04-03,33601.15
2023-04-04,33402.38
2023-04-05,33482.72
2023-04-06,33485.29
2023-04-07,.
2023-04-10,33586.52
2023-04-11,33684.79
2023-04-12,33646.50
2023-04-13,34029.69
2023-04-14,33886.47
2023-04-17,33987.18
2023-04-18,33976.63
2023-04-19,33897.01
2023-04-20,33786.62
2023-04-21,33808.96
2023-04-24,33875.40
2023-04-25,33530.83
2023-04-26,33301.87
2023-04-27,33826.16
2023-04-28,34098.16
2023-05-01,34051.70
2023-05-02,33684.53
2023-05-03,33414.24
2023-05-04,33127.74
2023-05-05,33674.38
2023-05-08,33618.69
2023-05-09,33561.81
2023-05-10,33531.33
2023-05-11,33309.51
2023-05-12,33300.62
2023-05-15,33348.60
2023-05-16,33012.14
2023-05-17,33420.77
2023-05-18,33535.91
2023-05-19,33426.63
2023-05-22,33286.58
2023-05-23,33055.51
2023-05-24,32799.92
2023-05-25,32764.65
2023-05-26,33093.34
2023-05-29,.
2023-05-30,33042.78
2023-05-31,32908.27
2023-06-01,33061.57
2023-06-02,33762.76
2023-06-05,33562.86
2023-06-06,33573.28
2023-06-07,33665.02
2023-06-08,33833.61
2023-06-09,33876.78
2023-06-12,34066.33
2023-06-13,34212.12
2023-06-14,33979.33
2023-06-15,34408.06
2023-06-16,34299.12
2023-06-19,.
2023-06-20,34053.87
2023-06-21,33951.52
2023-06-22,33946.71
2023-06-23,33727.43
2023-06-26,33714.71
2023-06-27,33926.74
2023-06-28,33852.66
2023-06-29,34122.42
2023-06-30,34407.60
2023-07-03,34418.47
2023-07-04,.
2023-07-05,34288.64
2023-07-06,33922.26
2023-07-07,33734.88
2023-07-10,33944.40
2023-07-11,34261.42
2023-07-12,34347.43
2023-07-13,34395.14
2023-07-14,34509.03
2023-07-17,34585.35
2023-07-18,34951.93
2023-07-19,35061.21
2023-07-20,35225.18
2023-07-21,35227.69
2023-07-24,35411.24
2023-07-25,35438.07
2023-07-26,35520.12
2023-07-27,35282.72
2023-07-28,35459.29
2023-07-31,35559.53
2023-08-01,35630.68
2023-08-02,35282.52
2023-08-03,35215.89
2023-08-04,35065.62
2023-08-07,35473.13
2023-08-08,35314.49
2023-08-09,35123.36
2023-08-10,35176.15
2023-08-11,35281.40
2023-08-14,35307.63
2023-08-15,34946.39
2023-08-16,34765.74
2023-08-17,34474.83
2023-08-18,34500.66
2023-08-21,34463.69
2023-08-22,34288.83
2023-08-23,34472.98
2023-08-24,34099.42
2023-08-25,34346.90
2023-08-28,34559.98
2023-08-29,34852.67
2023-08-30,34890.24
2023-08-31,34721.91
2023-09-01,34837.71
2023-09-04,.
2023-09-05,34641.97
2023-09-06,34443.19
2023-09-07,34500.73
2023-09-08,34576.59
2023-09-11,34663.72
2023-09-12,34645.99
2023-09-13,34575.53
2023-09-14,34907.11
2023-09-15,34618.24
