country,country_code,pop_2021
China,CHN,"1,420,192,199"
India,IND,"1,407,492,911"
United States,USA,"332,304,762"
Indonesia,IDN,"279,418,046"
Pakistan,PAK,"229,551,955"
Nigeria,NGA,"216,346,261"
Brazil,BRA,"215,689,699"
Bangladesh,BGD,"168,017,589"
Russia,RUS,"143,804,972"
Mexico,MEX,"131,693,599"
Japan,JPN,"125,182,872"
Ethiopia,ETH,"120,682,710"
Philippines,PHL,"112,516,833"
Egypt,EGY,"106,256,587"
Republic of the Congo,COD,"103,913,549"
Vietnam,VNM,"99,152,987"
Turkey,TUR,"86,437,666"
Iran,IRN,"86,199,009"
Germany,DEU,"83,611,450"
Thailand,THA,"70,186,113"
United Kingdom,GBR,"67,980,913"
France,FRA,"67,698,605"
Tanzania,TZA,"63,129,521"
South Africa,ZAF,"60,835,831"
Italy,ITA,"58,828,028"
Kenya,KEN,"56,142,057"
Myanmar,MMR,"55,100,185"
Colombia,COL,"52,167,067"
South Korea,KOR,"52,024,636"
Uganda,UGA,"48,778,061"
Spain,ESP,"47,873,207"
Argentina,ARG,"46,262,829"
Sudan,SDN,"45,881,124"
Algeria,DZA,"45,486,083"
Ukraine,UKR,"43,662,555"
Iraq,IRQ,"42,005,343"
Afghanistan,AFG,"40,683,694"
Canada,CAN,"38,967,455"
Poland,POL,"37,932,142"
Morocco,MAR,"37,795,181"
Saudi Arabia,SAU,"35,945,430"
Uzbekistan,UZB,"35,476,677"
Angola,AGO,"34,907,095"
Peru,PER,"33,978,282"
Malaysia,MYS,"33,205,917"
Mozambique,MOZ,"33,000,322"
Ghana,GHA,"32,375,549"
Yemen,YEM,"31,153,355"
Nepal,NPL,"30,152,340"
Madagascar,MDG,"29,109,702"
Cameroon,CMR,"27,868,973"
Venezuela,VEN,"27,855,980"
Cote d'Ivoire,CIV,"27,677,202"
Australia,AUS,"26,404,128"
North Korea,PRK,"26,010,329"
Niger,NER,"25,952,015"
Sri Lanka,LKA,"22,213,111"
Burkina Faso,BFA,"22,047,234"
Mali,MLI,"21,414,484"
Malawi,MWI,"20,107,651"
Chile,CHL,"19,532,234"
Zambia,ZMB,"19,408,191"
Kazakhstan,KAZ,"19,232,287"
Romania,ROU,"19,089,022"
Ecuador,ECU,"18,210,495"
Syria,SYR,"17,865,850"
Netherlands,NLD,"17,648,685"
Senegal,SEN,"17,629,165"
Guatemala,GTM,"17,371,423"
Chad,TCD,"17,368,168"
Cambodia,KHM,"17,190,722"
Somalia,SOM,"16,767,797"
Zimbabwe,ZWE,"15,282,667"
Guinea,GIN,"13,845,748"
Rwanda,RWA,"13,600,622"
Benin,BEN,"12,757,255"
Burundi,BDI,"12,602,035"
Tunisia,TUN,"12,074,280"
Bolivia,BOL,"11,993,071"
Haiti,HTI,"11,682,390"
Belgium,BEL,"11,679,351"
South Sudan,SSD,"11,392,088"
Cuba,CUB,"11,317,155"
Dominican Republic,DOM,"11,070,287"
Czech Republic,CZE,"10,768,311"
Greece,GRC,"10,692,381"
Sweden,SWE,"10,544,293"
Jordan,JOR,"10,467,879"
Portugal,PRT,"10,315,151"
Azerbaijan,AZE,"10,250,499"
