Name,2018/19,2019/20,2020/21,2021/22,2022/23,May2023/24,Action
Indonesia,5362,4758,6124,5466,5800,5630,import
China,4086,3808,6379,5000,4400,5000,import
United_States,2785,3778,2922,3308,3126,2994,import
Bangladesh,2429,2397,2351,2807,2330,2700,import
European_Union,2374,2235,1792,1999,3000,2500,import
Malaysia,2139,1966,2142,1961,2100,2340,import
Algeria,2328,2468,2257,2245,2001,2301,import
Korea_South,1999,1926,1934,1983,1950,2025,import
Saudi_Arabia,1342,1420,1488,1517,1720,1950,import
Nigeria,1870,1890,1880,1930,1950,1930,import
United_Arab_Emirates,1579,751,1785,1563,1750,1875,import
Morocco,1100,1328,1407,1531,1503,1603,import
Vietnam,303,1312,1325,1490,1520,1575,import
Ethiopia,532,432,1462,1737,1340,1550,import
Canada,1268,1245,1389,1319,1465,1540,import
Iraq,1180,1196,1107,1278,1315,1370,import
Sudan,1042,1528,1219,1254,1304,1354,import
Japan,1187,1142,1051,1004,1077,1127,import
India,1300,900,1245,340,1000,1000,import
Iran,935,1111,1421,973,989,1000,import
Egypt,860,830,830,830,830,930,import
Somalia,738,877,821,879,885,925,import
Yemen,667,770,941,466,775,875,import
Chile,449,648,532,654,640,640,import
Kazakhstan,345,482,478,483,580,625,import
Other,12962,12537,12422,12088,12177,11653,import
Total,53161,53735,58704,56105,57527,59012,import
